StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q47,Q1,Q2,Q3,Q6,Q11,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q10#1_5,Q10#1_6,Q49,Q50,Q51,Q55,Q53,Q54,Q14,Q15,Q16,Q17,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please, provide your name",What is your age group?,What is your gender?,How would you rate your overall proficiency with using smartphone applications?,How would you rate your experience with using location services and privacy settings on the app?,"If you applied multiple filters, how well did the app combine these filters to show you the results?",Please provide your answers regarding different filters' usability experiences in the following t... - Filters Usability - DC fast charging station,Please provide your answers regarding different filters' usability experiences in the following t... - Filters Usability - Regular charging station,Please provide your answers regarding different filters' usability experiences in the following t... - Filters Usability - Cost,Please provide your answers regarding different filters' usability experiences in the following t... - Filters Usability - Distance,Please provide your answers regarding different filters' usability experiences in the following t... - Filters Usability - Availability,Please provide your answers regarding different filters' usability experiences in the following t... - Filters Usability - Welfare amenities,"Could you please elaborate on the reasons behind your rating for the ""DC fast charging station"" filter's usability?","Could you please elaborate on the reasons behind your rating for the ""Regular charging station"" filter's usability?","Could you please elaborate on the reasons behind your rating for the ""Cost"" filter's usability?","Could you please elaborate on the reasons behind your rating for the ""Distance"" filter's usability?","Could you please elaborate on the reasons behind your rating for the ""Availability"" filter's usability?","Could you please elaborate on the reasons behind your rating for the ""Welfare amenities"" filter's usability?","Overall, how satisfied are you with the app?",Would you recommend this app to other EV drivers?,What feature did you find most helpful while using the app?,What was the most challenging part of using the app?,Do you have any suggestions for additional filters or features you would like to see in the app?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10#1_1""}","{""ImportId"":""QID10#1_2""}","{""ImportId"":""QID10#1_3""}","{""ImportId"":""QID10#1_4""}","{""ImportId"":""QID10#1_5""}","{""ImportId"":""QID10#1_6""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}"
4/6/2024 10:18,4/6/2024 10:19,Survey Preview,,100,74,TRUE,4/6/2024 10:19,R_7PM4L2AUa4Gyh1O,,,,,42.244,-83.5823,preview,EN,E,25-34,Female,Advanced,Somewhat positive,Very well,Difficult,Easy,Neutral,Neutral,Easy,Easy,,,,,,,Somewhat dissatisfied,Probably would not,ff,ggg,hh
4/6/2024 10:54,4/6/2024 11:08,Survey Preview,,100,857,TRUE,4/6/2024 11:08,R_7p5GQF29mAo0Pbb,,,,,42.244,-83.5823,preview,EN,N,25-34,Female,Novice,Neutral,,,,,,,,,,,,,,,,,,
4/6/2024 13:51,4/6/2024 13:52,Survey Preview,,100,54,TRUE,4/6/2024 13:52,R_7TXfE9eMXiQnBCh,,,,,42.244,-83.5823,preview,EN,F,,,,,,,,,,,,,,,,,,,,,,
4/6/2024 14:30,4/7/2024 10:38,IP Address,68.37.34.237,100,72482,TRUE,4/7/2024 10:38,R_7108PigFDzl9D2i,,,,,42.2807,-83.7801,anonymous,EN,A,25-34,Female,Expert,Very Positive,Very well,Easy,Easy,Very Easy,Very Easy,Easy,Easy,,,,,,,Extremely dissatisfied,Definitely would,Navigation system ,Using cost filter ,Number of stations in each charging station 
4/6/2024 13:57,4/7/2024 11:40,IP Address,141.215.196.49,100,78219,TRUE,4/7/2024 11:40,R_5P7bGAoQ7QkfOs6,,,,,42.331,-83.3785,anonymous,EN,J,25-34,Female,Expert,Somewhat positive,Moderately well,Very Difficult,Very Difficult,Very Difficult,Very Difficult,Very Difficult,Very Difficult,,,,,,,Somewhat satisfied,Probably would not,,,
4/7/2024 18:32,4/7/2024 18:37,IP Address,98.243.40.91,100,309,TRUE,4/7/2024 18:37,R_8WYiJwN2h6fYO3W,,,,,42.2709,-83.7268,anonymous,EN,B,35-44,Male,Expert,Very Positive,Moderately well,Easy,Easy,Easy,Very Easy,Easy,Easy,,,,,,,Extremely satisfied,Definitely would,Filter,None,None
4/8/2024 13:36,4/8/2024 13:41,IP Address,141.215.11.105,100,287,TRUE,4/8/2024 13:41,R_2t6kjaqPGd21w1e,,,,,42.244,-83.5823,anonymous,EN,S,25-34,Female,Expert,Somewhat positive,Very well,Very Easy,Easy,Easy,Easy,Easy,Very Easy,,,,,,,Somewhat satisfied,Probably would,,,
4/8/2024 14:34,4/8/2024 14:37,IP Address,176.29.59.118,100,191,TRUE,4/8/2024 14:37,R_2qlAxz7nxaCQT7Q,,,,,31.9555,35.9435,anonymous,EN,R,25-34,Female,Intermediate,Somewhat positive,Slightly well,Neutral,Easy,Difficult,Neutral,Easy,Easy,,,,,,,Somewhat satisfied,Probably would,,,
4/8/2024 15:40,4/8/2024 15:45,IP Address,68.37.34.237,100,311,TRUE,4/8/2024 15:45,R_5i2L8Lv8jNiGfCp,,,,,42.2807,-83.7801,anonymous,EN,A,25-34,Male,Expert,Very Positive,Very well,Neutral,Neutral,Easy,Easy,Easy,Neutral,,,,,,,Somewhat satisfied,Probably would,Multiple filters ,Having no back icon,Filters are very comprehensive. Good job.
4/9/2024 7:51,4/9/2024 7:56,Survey Preview,,100,304,TRUE,4/9/2024 7:56,R_7PhynwVOazoAn10,,,,,42.3471,-83.2899,preview,EN,D,25-34,Female,Advanced,Somewhat positive,Very well,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,This is a trial,This is a trial,This is a trial,This is a trial,This is a trial,This is  a trial,Extremely satisfied,Definitely would,,,
4/9/2024 9:34,4/9/2024 9:47,IP Address,68.37.34.237,100,806,TRUE,4/9/2024 9:47,R_5b8qpnUcy0QBTcB,,,,,42.2807,-83.7801,anonymous,EN,T,25-34,Female,Advanced,Very Positive,Very well,Easy,Easy,Neutral,Very Easy,Easy,Very Easy,It's clear and easy to find and use,These stations are widespread and it's necessary for EV users to be able to find them quickly,I liked the feature since it gives more options to the driver ,It's necessary to know the distance between the driver's location and the station and I liked the app having this feature too,Great to have this option as no one likes to wait for long hours for a station to free up ,"I liked to have a customized filter for that instead of using the predefined options such as grocery store, I would liked to manually enter what amenities I want the filter to find for me",Extremely satisfied,Definitely would,Filters are very helpful,I think fist time use is always challenging but during time I got used to the interface ,"For welfare amenities, you can have an option for more customized facilities so that the user can enter what facility they want to have near station"
4/9/2024 16:20,4/9/2024 16:29,IP Address,68.37.34.237,100,514,TRUE,4/9/2024 16:29,R_1lyxiqmVcI2qzBv,,,,,42.2807,-83.7801,anonymous,EN,O,35-44,Male,Expert,Very Positive,Very well,Neutral,Very Easy,Very Easy,Neutral,Neutral,Very Easy,That specific filter is a great option to have ,That's a must have filter and I liked it due to it ease of use ,Very well organized and easy to follow. Great filter.,Better having both miles and kilometers ,Didn't use it but it would be nice to add wait time too if the station is not available right away,Very nice to have this filter. Add drug store too.,Extremely satisfied,Definitely would,Filters are the best options of the app,Following the steps but in general nothing outstanding ,Add kilometers and wait time.
